min_samples_split,n_estimators,f1_mean,f1_median,accuracy_mean,accuracy_median
12,400,0.911456573276678,0.9106959203539386,0.9128747795414462,0.9122574955908289
12,600,0.9130977338154735,0.91228910940212,0.9145061728395062,0.9135802469135803
4,400,0.9127789797042929,0.9116707636198842,0.914241622574956,0.9131393298059964
4,600,0.9147061094530834,0.9139902880322016,0.9160934744268076,0.9153439153439153
8,400,0.9124664191548609,0.9116089937303311,0.913888888888889,0.9129188712522046
8,600,0.9139660914542744,0.9128954917118751,0.9153880070546737,0.914021164021164
